D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Acueducto,_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,_,_
Peticiones Aguas Oficinas (resuelto),_,_,_,_,_,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN QUE ES PÉSIMA PORQUE NO ME GUSTAN COMO TRATAN ME PARECE QUE SON GROSEROS. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,AMAGA,Gas,Línea de atención,,Regional,"LO QUE PASA ES QUE YO NO HABÍA SOLICITADO EL SERVICIO Y YA ME IBAN HACER EL CORTE POR LA REVISIÓN, Y CUANDO LLAME INMEDIATAMENTE ELLOS ME DIERON LA CITACIÓN COMO A LOS TRES DÍAS PARA UN FIN DE SEMANA, ENTONCES PASO EL FIN DE SEMANA E INMEDIATAMENTE ME DIERON LA CITA PARA EL LUNES ELLOS FUERON PUNTUALES AL VENIR ENTONCES POR ESO, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,BELLO,Energía,Línea de atención,,Metropolitana,QUE ME ATENDIERON ME DIERON UN RESULTADO EN LA LLAMADA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,_,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DE LA ASESORA POR QUE FUE MUY QUERIDA Y MUY ATENTA . NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,EN EL SERVICIO EN LA RESPUESTA A LA SOLICITUD EN QUE FUE BUEN SERVICIO EN EL TIEMPO QUE ME DIERON LA RESPUESTA Y CUANDO LLEGARON LA BUENA ACTITUD DE LOS TÉCNICOS QUE HICIERON LA VISITA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,DEMORA EN ATENDER PETICION,"Nombre: Angel Ramirez Sanchez 
Cc: 71636197
Tel: 3007126900
Dir: CR 32 D CL 7 A -13 
Autoriza SMS: SI 
Id:00001098871556551755
Orden en hidro 2721663 y 2742335, usuario asegura ya arreglaron la fuga pero no han pavimentado y tienen un hueco donde ya se han presentado varios accidentes. Comunidad afectada, solicitan atenci?n en el menor tiempo posible.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"EL TRABAJO QUEDO CORRECTAMENTE  REALIZADO, PERO  HUBO ALGO DE DEMORA  PARA  QUE VINIERAN A  SOLUCIONARLO NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuario en calidad de propietario reclama por valores facturados en el mes de abril, seg?n SCO 26660631 existe trocamiento con interior (401), habita 1 persona, se facturan 9 mts3, promedio 4 mts3",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,EL SERVICIO MUY ORGANIZADO Y PERSONALIZADO Y EL LUGAR DE ATENCIÓN MUY COMO MUY ADECUADO. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Energía (incluido prepago),TELEFONICO,DEMORA EN ATENDER PETICION,"NOMBRE:SORANY USMA LOPEZCC: 43557012DIRECCI?N: CL 86 CR 31 -35 TEL?FONO: 3008452643ID:00001055671556812111AUTORIZA MENSAJE: Si OBSERVACIONES: Cliente con pedido 47034610 en estado Vencido. Usuaria solicita atenci?n lo mas pronto posible.Viene de las solicitudes 42202411 - 46590916 - 47000562, donde personal informa que le debe pasar el medidor al poste y cambiar medidor. informa que por favor llamar al cel: 3008452643, informa que si no programan la visita no los puede atender / mpio: medellin / barrio: manrique / id: 00001055671556812111* Emolinagr",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"LO QUE LA MUCHACHA ME CONTESTO ES QUE YO ME TENÍA QUE QUEDAR 5 DÍAS HÁBILES EN LA CASA A PORQUE EPM ME PUDIERA INSTALAR O QUE ESTUVIERA UN VECINO, PERO YO NO PODÍA DISPONER DEL TIEMPO DE MIS VECINOS Y SI YO NO TRABAJO NO TENGO CON QUE PAGARLES Y ME TOCO LLAMAR 2 VECES. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,TURBO,Energía,Línea de atención,,Regional,ME PUDIERON SOLUCIONAR EL PROBLEMA QUE TENÍA TODO FUE MUY BIEN GRACIAS A DIOS. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,SUSPENSION O CORTE DEL SERVICIO,"NOMBRE: JHON QUICENO
CC: 71363877
CEL: 3004631126 / 3007592787 / 5366668
DIRECCI?N: CL 55 SUR CR 43 A -64 (INTERIOR 501 )
REQUERIMIENTO: 
ID: 00001078061555458113
AUTORIZA SMS: SI
CLIENTE INSISTE, Usuario muy molesto porque el d?a de hoy 16/04/2019 se le suspendi? el servicio por RP, indica que se retras? el proceso de la cita que hab?a pedido desde el d?a 19/01/2019 para su certificaci?n debido a que la red matriz no estaba certificada y fue dif?cil el proceso por tratar de llegar a un acuerdo con todos los copropietarios, se encuentra inconforme porque no ten?an conocimiento (ning?n copropietario ) de la nueva ley que exige la certificaci?n de la red matriz y no se notifico de la misma de ninguna manera, indica que no esta dispuesto a pagar costos por suspensi?n, ya que el incumplimiento no se dio por negligencia suya puesto que nunca neg? que deb?a hacerlo y trato de cumplir con todo a tiempo, sino de parte de EPM al no enterar a los usuarios de esta nueva obligaci?n y el agenda miento fue muy complicado.",_,SABANETA,Gas,Línea de atención,,Metropolitana,"POR QUÉ PASE MI SOLICITUD,  PERO LA INFORMACION QUE ME DIERON NO FUE LA ADECUADA, Y LA DISPONIBILIDAD DEL ASESOR NO FUE LA MEJOR NO  ME ATENDIÓ CON AMABILIDAD (NO DA MÁS INFORMACION)",INCIDENTES NEGATIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"ESTOY TENIENDO UN INCONVENIENTE Y ES QUE SE BLOQUEAN MUCHO LAS TARJETAS ADICIONAL ES QUE EL MEDIDOR ME LO HAN CAMBIADO DOS MESES Y HUBO UN CONTRATISTA QUE ME MANIFIESTO DE LA MANGUERA QUE VA DEL TUVO MADRE AL MEDIDOR Y ME DICE QUE HAY FUGA Y QUE SEGÚN ESO ME CORRESPONDE A MÍ, YO CONSIDERO QUE POR EL MAL TRABAJO O LA CALIDAD DEL TRABAJO QUE ESTÁN HACIENDO ESA MANGUERA YA ESTÁ DETERIORADA  O MALTRATADA Y NO ES JUSTO QUE NOS PONGAN A NOSOTROS LOS USUARIOS A PAGAR ESAS COSAS.",INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Energía,_,_,_,_,_,Energía,Línea de atención,,Regional,PORQUE LA PERSONA ME BRINDO LAS OPCIONES CORRECTAS PARA MI SOLICITUD. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,ME ESCUCHARON Y SE TOMARON EL TIEMPO Y TUVIERON LA PACIENCIA PARA ESCUCHAR EL REQUERIMIENTO  ESTUVIERON ATENTOS A LA QUEJA Y ME DIERON  RESPUESTA POR  ESCRITO,INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,SUSPENSION O CORTE DEL SERVICIO,"Nombre: Kami-san Tekoa Agudelo Contecha
Cc: 77195765
Tel: 3008994585
Dir: RURAL_190318203153150000_1 # 1-1 ROMERAL
Autoriza SMS: Si
Id: 00001068801556911272
Se comunica usuario solicitando informaci?n de cuando se le realiza la reconexi?n del servicio de energ?a, se procede a validar y no hay orden de reconexi?n; por alg?n motivo el funcionario ingreso la informaci?n de que el servicio no se suspendi? pero deja observaciones ""Medidor Bi cuerpo, se suspendi? desconectando l?neas de carga en breques, sello nuevo 557282, t?cnico 1801, el 25/04/2019 a las 11:45 am, no se suspende desde el punto de conexi?n ya que se encuentra cable conc?ntrico prensado a 3 metros, adem?s llega en cable de fuerza"" favor validar",_,GUARNE,Energía,Línea de atención,,Regional,"LA FALTA DE INFORMACION QUE ELLA ESTABA BRINDANDO, POR EJEMPLO, ME ESTABA DICIENDO QUE EL SERVICIO ESTABA CONECTADO CUANDO EN LA CASA NO TENÍA SERVICIO DE LUZ, LO DECÍA PORQUE EN EL SISTEMA APARECE QUE EL SERVICIO ESTABA CONECTADO, PERO NO PORQUE ELLA QUISIERA DAR ESA INFORMACION SI NO PORQUE OTRO DEPARTAMENTO NO COMUNICA LAS CONDICIONES DE CÓMO QUEDA EL SERVICIO Y EL CENTRO DE ATENCIÓN TELEFÓNICA INFORMA LO QUE TIENE EN EL COMPUTADOR. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,CUANDO ME COMUNICO A LA LÍNEA SE DEMORAN MUCHO PARA CONTESTAR O LO DEJAN A UNO ESPERANDO EN LA LÍNEA QUE YA LA COMUNICO Y ASÍ SE LA PASAN. NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuario en  calidad de inquilino presenta reclamo de la factura de  abril de 2019, por alto consumo. Cliente solicita no separar valores.",_,TAMESIS,Energía,Oficina de atención,,Regional,"EL SERVICIO EN CUANTO A LA ATENCIÓN DEL SEÑOR QUE ATENDIÓ MUY CORRECTO, NO MUCHA DEMORA.",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,"En calidad de inquilina, solicita se le explique a qu? se debe el total a pagar en factura de Abril de 2019",_,BELLO,Acueducto,Oficina de atención,,Metropolitana,LA RESPUESTA QUE ME DIERON PORQUE YO FUI PORQUE ME ESTABAN COBRANDO EL DOBLE DE SERVICIOS Y LA RESPUESTA QUE ME DIERON FUE QUE SE EQUIVOCARON ALLÁ Y QUE POR ESO ME ESTABAN COBRANDO LOS DOS MESES DE UNA. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"PUES EL SEÑOR QUE VINO SE PORTÓ MUY BIEN, CONSIDERO QUE FUE UNA PERSONA MUY ATENTO Y MUY BUENA GENTE Y TAMBIÉN CUANDO ME COMUNIQUE ELLOS FUERON MUY ÁGILES Y RÁPIDOS PARA ATENDERME Y AGENDA LA CITA PARA LA REVISIÓN, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,LO QUE ME AGRADO ES QUE EL CONTADOR HAYA QUEDADO BUENO. SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,_,Energía,Línea de atención,,Metropolitana,QUE ME CONTESTARON RÁPIDA LA LLAMADA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),_,_,_,_,_,Energía,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,QUE LLAMAMOS Y AL OTRO DÍA YA NOS COLABORARON HIENDO ARREGLAR EL DAÑO.,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,ENVIGADO,Gas,Línea de atención,,Metropolitana,"PORQUE ELLOS CANCELARON LA CITA DOS VECES FALTANDO MUY POCO, PUES EL MISMO DÍA ME DIJERON AHÍ NO VAMOS A PODER LLEGAR A HORARIOS ENTONCES RES PROGRAMEMOS, Y ME REPROGRAMARON DOS VECES Y LA TERCERA ME TOCO PUES COMO ULTIMÁTUM, PORQUE EPM ME MANDÓ UNA CARTA PIDIENDO QUE SI NO HACIA LA REVISIÓN ME SUSPENDÍAN EL SERVICIO DEL GAS ENTONCES ESO FUE LO QUE MÁS ME MOLESTO AQUELLA VEZ, NO DA MÁS INFORMACIÓN.",INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,El usuario solicita separaci?n,_,ITAGUI,Acueducto,Oficina de atención,,Metropolitana,LA RAPIDEZ CON LA QUE ME ATENDIERON. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,YOLOMBO,Energía,Línea de atención,,Regional,QUE PRIMERO LAS PERSONAS QUE ATIENDEN LA LLAMADA SON AMBLES NO SON DÉSPOTAS NO LO RECIBEN A UNO CON PREVENCIÓN. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN ME ATENDIÓ MUY BIEN DIERON INFORMACIÓN MUY EXACTA Y MUY COHERENTE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,COMPORTAMIENTO FUNCIONARIO TRABAJADOR O CONTRATISTA,"Nombre: MARIA CARMONA 
Cc: 43919558
Tel: 3012089619
Dir: RURAL_190649200374040000_VEREDA LA VILLA
Autoriza SMS:
Id:
Se?ora MARIA CARMONA se comunica muy inconforme, indica que contratista de epm se acerco el d?a de hoy 08/05/2019  a realizar la lectura, donde le deja el port?n abierto y se le salieron varios animales, informa que esto puede causar varios accidentes o perdidas, favor validar y brindar informaci?n.",_,SAN CARLOS,Energía,Línea de atención,,Regional,LA ATENCIÓN FUE MUY RÁPIDA Y LE TOMARON ESPECIAL ATENCIÓN A LA QUEJA. NO DA INFORMACION,INCIDENTES POSITIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,_,_,_,_,_,Gas,Línea de atención,,Regional,QUE EL USUARIO SIEMPRE TIENE QUE PERDER YA QUE POR LO QUE YO LLAME NO ME BRINDARON SOLUCIÓN  Y FINALMENTE TUVE QUE HACER LO QUE ELLOS DIJERON (NO DA MÁS INFORMACION),INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,PORQUE NECESITABA SABER CON CERTEZA EL MOMENTO EN QUE ME VISITABAN PORQUE YO TRABAJO Y A MÍ ME DAN UN TIEMPO ESPECÍFICO PARA ESTAR EN LA CASA Y NO UN DÍA ENTERO O DOS DÍAS COMO ME DIJERON EN DOS DÍAS ESTAMOS VISITÁNDOLO DE 7 DE LA MAÑANA A LAS 5 DE LA TARDE Y ES IMPOSIBLE EN UNA EMPRESA QUE LE DEN UN TIEMPO TAN LARGO DE PERMISO,INCIDENTES NEGATIVOS
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD TRABAJOS,"Nombre: OLGA LUCIA SANCHEZ PUERTA
Cc: 32318677
Tel: 3007804614-4973694
Dir: CL 51 CR 48 -76 (INTERIOR 403 )
Autoriza SMS: si
Id: 00001004441556639933
Usuaria se comunica inconforme ya en el parque de bello se est?n realizando unos trabajos de modernizaci?n, construcci?n, reposici?n y obras complementarias de las redes de acueducto, circuitos de bello, Niquia, altos de Niquia y alcantarillado en la cuenca, los cuales se est?n ejecutando por la uni?n temporal Niquia acevedo con el contrato CW18689, indican que son en horario nocturno con cierre parcial en v?as. La usuaria se encuentra inconforme ya que se quedan hasta las 3 de la ma?ana generando molestias para ellos poder dormir, y les hab?an indicado que solo trabajar?an hasta las 11 de la noche.",_,BELLO,Acueducto,Línea de atención,,Metropolitana,"LA CHICA QUE ME  CONTESTO A LA INCONFORMIDAD ;NO ME GUSTO LA FORMA COMO ME  HABLO EL TONO QUE UTILIZO Y LAS PALABRAS QUE USO PARECÍA  QUE NO LE  IMPORTABA LO QUE LE ESTABA  DICIENDO ;TENGO UNA  BEBE  Y A ELLA LA FUNCIONARIA  AL PARECER NO LE  IMPORTABA LA SITUACIÓN ME CHOCO MUCHO  QUE SE NOS  INFORMABA QUE LOS TRABAJOS SE REALIZARÍAN DE 7 A 11 PM  Y NO SUCEDE ASÍ  TAPAN  Y DESTAPAN EL MISMO HUECO TODOS LOS DÍAS, ESO ES DE UNA OBRA  EN LA QUE  ESTÁN TRABAJANDO EN EL CONJUNTO ,ADEMÁS  LA PERSONA  QUE ATENDIÓ LA LLAMADA  ME  INDICO QUE DEBERÍA DIRIGIRME A UNA OFICINA  QUE ELLA NO PODÍA HACER NADA PARA  AYUDARME ,SOLO HUBO UNA PERSONA MUY AMABLE LA ERA  MARIANA LODOÑO QUIEN TRATO DE AYUDARME  A SOLUCIONAR LA SITUACIÓN",INCIDENTES NEGATIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,PETICIONES TECNICAS,Usuario solicita radicar,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,"EL TIEMPO DE ESPERA ES MUY MALO PORQUE FUI A LAS 9:00 AM A LA OFICINA, Y ME ATENDIERON COMO A LAS 2:30 PM O 3:00 PM. PUDIERAN MIRAR LA FORMA PARA QUE NO SEA TAN LARGA LA ESPERA, NO SÉ SI FALTA PERSONAL, PORQUE HABÍA MUCHOS CUBÍCULOS Y LA MITAD O MENOS DE LA MITAD SOLAMENTE ESTABAN ATENDIENDO, ENTONCES QUE COLOQUEN A TODO EL PERSONAL. PERO LAS PERSONAS QUE ME ATENDIERON FUERON MUY AMABLES.",INCIDENTES NEGATIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES PARA MÍ FUE MUY POSITIVO PORQUE MI SITUACIÓN ECONÓMICA DESDE QUE MURIÓ MI MAMA Y ELLA ESTABA ENFERMA Y SIEMPRE COSTABA DE MUCHAS COSAS Y VENIA DE UNA DIFICULTAD MUY ECONÓMICA Y DEJABA QUE PASARAN LOS MESES SIN PASAR Y PUES ME DIERON  ESA SOLUCIÓN PARA PODER PAGAR, YO NO TENGO SI NO PALABRAS DE AGRADECIMIENTO.",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,LA CEJA,Energía,Línea de atención,,Regional,QUE ME INDICARON QUE TENÍA QUE AVERIGUAR EN EL SECTOR SI NO HABÍA LUZ CUANDO LA CASA MÁS CERCANA ESTA APROXIMADA A 500 METROS Y SE SUPONE QUE SI UNO LLAMA Y DA EL NÚMERO DE CONTRATO ES PORQUE YA DEBEN SABER DÓNDE ESTÁ UBICADO UNO EN EL MOMENTO. NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,_,Energía,Línea de atención,,Metropolitana,"LA NIÑA ME TOMO LOS DATOS Y ME DIJO QUE IBAN A IR A REVISAR, LA BUENA ATENCIÓN YO LE DIJE QUE ESTABA TODO MAL Y ME LO MANDARON Y LLEGARON RAPIDO.NO DA MÁS INFORMACIÓN",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuaria en calidad de madre de propietaria solicita explicaci?n de la factura porque le llego m?s alta el agua.  Indica que realizo financiaci?n de la cuenta.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"LA ATENCIÓN DE LA MUCHACHA PORQUE FUE SUPREMAMENTE PACIENTE, CON PACIENCIA VIO E HIZO TODAS LAS COSAS, FUE UNA PERSONA EXCELENTE PARA DAR LOS DATOS COMO SON. SE INDAGA NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Patricia ?lvarez Mejida 
C.C. 25172772
Tel?fono 3013398176 
Autoriza SMS: SI 
CL 31 CR 42 A -76 (INTERIOR 201 )
Bello 
Contrato 3590030, ciclo 1, usuaria manifiesta que un mes si y otro mes no le hacen entrega de la factura de los servicios p?blicos, no registra en factura web y solicita se corrija este inconveniente lo mas pronto posible.  Favor validar.
ID 00001040601556993005",_,BELLO,Energía,Línea de atención,,Metropolitana,"ATENCIÓN, LA AMABILIDAD DE QUIEN ME CONTESTO RÁPIDA SOLUCIÓN. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuario en calidad de inquilino manifiesta inconformidad por los valores facturados en la cuenta del mes de Abril, ya que el valor seg?n cliente dice que no guardan relaci?n con el consumo real de la vivienda y seg?n ?l no han tenido nuevos integrantes en la vivienda, los electrodom?sticos est?n en buen estado cliente insiste en una revisi?n para encontrar alg?n da?o o inconsistencia.
No se realiza separaci?n de valores ya que cliente pago el total de la factura.",_,CISNEROS,Energía,Oficina de atención,,Regional,EL CAMBIO DE LA PUERTA AUTOMÁTICA QUE SE ABRE SOLA SIN EMPUJAR ESO LE DA A UNO LA BIEN VENIDA.,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,LA OPORTUNIDAD DE TIEMPO DE RESPUESTA EN QUE ME ATENDIERON RÁPIDO CUANDO YO HICE EL RECLAMO ME MANDARON RÁPIDO EL SERVICIO/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MARINILLA,Energía,Línea de atención,,Regional,LA PERSONA QUE ME ATENDIÓ FUE MUY AMABLE Y MUY FORMAL Y LA VERDAD NO TENÍA TODA LA INFORMACION QUE YO ESTABA SOLICITANDO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,QUE YO LLAME Y REPORTE EL PROBLEMA Y VINIERON A SOLUCIONAR EL INCONVENIENTE.,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,NO CONEXION DEL SERVICIO,8:14 a. m. 9/04/2019/US:Corina Mar?a Escobar G?mez /CC:42779629 /TEL:2973105- 3136498855 /DIRECCI?N:CL 58 SUR CR 62 B -13 (INTERIOR 301 )/PEDIDO:PED-659880-Y2L4/ORDEN:ORD -00742793 /OBS: La usuaria solicita se le asigne contratista para el proceso de conexi?n del servicio ya que la prueba de mon?xido ingreso desde el 1/Abril/2019 y hasta la fecha no le ha sido asignado personal para finalizar este proceso/ID: 00001032531554814679 /SMS: SI/NCARMORO/,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,LA ATENCIÓN PRESTADA CUANDO LLAME  PORQUE ME DIERON TODA LA EXPLICACIÓN QUE NECESITE (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,INCONFORMIDAD PUNTO DE VENTA YO RECAUDO,"Leidy Yuliana Mu?oz Torres
CC. 1035872641
Tel. 3013492433
CL 49 AA CR 99 E -72 (INTERIOR 1203 )
Id 00001129981555450211
Si autoriza sms 
1 Fecha y hora de la recarga: 1/04/2019 10:40 PM 
 2 Valor Recargado: $10.000
3 N?mero de medidor Energ?a Prepago: 07067078696
4 N?mero de tel?fono UNE:  9133730
 Le llego notificaci?n al celular? No
5 N?mero de celular donde notificaron la recarga:  3013492433
Valor reclamado: $ 10.500
N?mero de celular para que llegue mensaje de recarga?  3013492433",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,"Usuario en calidad de propietario del inmueble, no llego recibo",_,SONSON,Energía,Oficina de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,CUANDO LLAMAMOS ESTÁBAMOS MAL INFORMADOS DE CÓMO ERA EL USO DE MEDIDOR QUE NOS HABÍAN DEJADO INSTALADO Y PUES NOS DIERON LA INFORMACIÓN MUY BUENA DE CÓMO ERA EL USO.,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"PUES LA AGILIDAD DE PARTE DE TODOS, DESDE LA PRIMERA LLAMADA ME COMUNICARON CON LA PERSONA ENCARGADA PARA PODER AGENDAR LA CITA, Y LA VERDAD FUE MUY RÁPIDO EL PROCESO Y LUEGO LA VISITA FUE MUY ÁGIL Y SE HIZO LA REVISIÓN COMPLETA Y YA MUY BUEN SERVICIO, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,ITAGUI,Energía,Línea de atención,,Metropolitana,"EN REALIDAD, NO ME CUMPLÍAN CON LA VISITA VOLVÍA A LLAMAR Y ME DECÍAN QUE TENÍA QUE EMPEZAR OTRA VEZ PROCESO Y ESO NO ME GUSTO ESO Y SABIENDO QUE EL TÉCNICO NUNCA VINO. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Quejas aguas (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Nombre: MARCELA RESTREPO
Cc: 25053008
Tel: 3007845642
Dir: CL 35 A CR 86 -37
Autoriza SMS: Si
Id: 00001073961556305335
Observaci?n: La usuaria se comunica muy inconforme porque las facturas del edificio (El Barangay) nunca llegaron, esto queda por la Laures y todos los apartamentos est?n afectados. Insiste en dejar reporte con el fin que se haga la respectiva entrega de las facturas del mes de Abril. Favor validar y atender en el menor tiempo posible porque vencen con recargo el d?a 29/04/2019.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,_,_
Peticiones Energía Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,"Usuario en calidad de iqnuilino, solicita separaci?n de cuentas, desea pagar solo el servicio de energ?a que est? para suspensi?n y no tiene capacidad para cancelar todo.",_,APARTADO,Energía,Oficina de atención,,Regional,QUE PUDIERON HACER EL PAGO DE LOS SERVICIOS POR APARTE QUEDARON LOS SERVICIOS INDIVIDUALES PARA EL PAGO,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,RECEPCION COMUNICACIONES,Se radica comunicado 20190120096819,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LO RÁPIDO QUE LO ATIENDEN A UNO ADEMÁS LO SACAN A UNO DE LA INCERTIDUMBRE DEL PROBLEMA QUE UNO ESTÁ SOLICITANDO PORQUE LE ACLARAN LAS INQUIETUDES. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
